City,State,Ward,Contest,Candidate,Ballots Cast in Contest,Votes for Candidate,Percent of Voters Approving,Registered Voters,Turnout
Saint Louis,Missouri,1,Mayor,Lewis Reed,1147,446,38.88%,6301,18.20%
Saint Louis,Missouri,1,Mayor,Cara Spencer,1147,120,10.46%,6301,18.20%
Saint Louis,Missouri,1,Mayor,Tishaura Jones,1147,837,72.97%,6301,18.20%
Saint Louis,Missouri,1,Mayor,Andrew Jones,1147,76,6.63%,6301,18.20%
Saint Louis,Missouri,1,Comptroller,Darlene Green,1147,1061,92.50%,6301,18.20%
Saint Louis,Missouri,1,Alderperson,Yolanda Brown,1147,528,46.03%,6301,18.20%
Saint Louis,Missouri,1,Alderperson,Sharon Tyus,1147,691,60.24%,6301,18.20%
Saint Louis,Missouri,1,Alderperson,Loren Watt,1147,60,5.23%,6301,18.20%
Saint Louis,Missouri,2,Mayor,Lewis Reed,956,445,46.55%,5576,17.14%
Saint Louis,Missouri,2,Mayor,Cara Spencer,956,134,14.02%,5576,17.14%
Saint Louis,Missouri,2,Mayor,Tishaura Jones,956,659,68.93%,5576,17.14%
Saint Louis,Missouri,2,Mayor,Andrew Jones,956,82,8.58%,5576,17.14%
Saint Louis,Missouri,2,Comptroller,Darlene Green,956,805,84.21%,5576,17.14%
Saint Louis,Missouri,3,Mayor,Lewis Reed,858,359,41.84%,5747,14.93%
Saint Louis,Missouri,3,Mayor,Cara Spencer,858,136,15.85%,5747,14.93%
Saint Louis,Missouri,3,Mayor,Tishaura Jones,858,597,69.58%,5747,14.93%
Saint Louis,Missouri,3,Mayor,Andrew Jones,858,78,9.09%,5747,14.93%
Saint Louis,Missouri,3,Comptroller,Darlene Green,858,783,91.26%,5747,14.93%
Saint Louis,Missouri,3,Alderperson,Herdosia Bentum,858,232,27.04%,5747,14.93%
Saint Louis,Missouri,3,Alderperson,Brandon Bosley,858,647,75.41%,5747,14.93%
Saint Louis,Missouri,4,Mayor,Lewis Reed,1036,451,43.53%,6187,16.74%
Saint Louis,Missouri,4,Mayor,Cara Spencer,1036,99,9.56%,6187,16.74%
Saint Louis,Missouri,4,Mayor,Tishaura Jones,1036,765,73.84%,6187,16.74%
Saint Louis,Missouri,4,Mayor,Andrew Jones,1036,72,6.95%,6187,16.74%
Saint Louis,Missouri,4,Comptroller,Darlene Green,1036,967,93.34%,6187,16.74%
Saint Louis,Missouri,4,Alderperson,Dwinderlin Evans,1036,489,47.20%,6187,16.74%
Saint Louis,Missouri,4,Alderperson,Leroy Carter,1036,316,30.50%,6187,16.74%
Saint Louis,Missouri,4,Alderperson,Edward McFowland,1036,367,35.42%,6187,16.74%
Saint Louis,Missouri,5,Mayor,Lewis Reed,994,454,45.67%,6131,16.21%
Saint Louis,Missouri,5,Mayor,Cara Spencer,994,239,24.04%,6131,16.21%
Saint Louis,Missouri,5,Mayor,Tishaura Jones,994,607,61.07%,6131,16.21%
Saint Louis,Missouri,5,Mayor,Andrew Jones,994,88,8.85%,6131,16.21%
Saint Louis,Missouri,5,Comptroller,Darlene Green,994,859,86.42%,6131,16.21%
Saint Louis,Missouri,5,Alderperson,James Page,994,404,40.64%,6131,16.21%
Saint Louis,Missouri,5,Alderperson,Tammika Hubbard,994,621,62.47%,6131,16.21%
Saint Louis,Missouri,6,Mayor,Lewis Reed,2245,769,34.25%,8374,26.81%
Saint Louis,Missouri,6,Mayor,Cara Spencer,2245,1060,47.22%,8374,26.81%
Saint Louis,Missouri,6,Mayor,Tishaura Jones,2245,1532,68.24%,8374,26.81%
Saint Louis,Missouri,6,Mayor,Andrew Jones,2245,219,9.76%,8374,26.81%
Saint Louis,Missouri,6,Comptroller,Darlene Green,2245,1743,77.64%,8374,26.81%
Saint Louis,Missouri,7,Mayor,Lewis Reed,1954,739,37.82%,8789,22.23%
Saint Louis,Missouri,7,Mayor,Cara Spencer,1954,1053,53.89%,8789,22.23%
Saint Louis,Missouri,7,Mayor,Tishaura Jones,1954,1013,51.84%,8789,22.23%
Saint Louis,Missouri,7,Mayor,Andrew Jones,1954,266,13.61%,8789,22.23%
Saint Louis,Missouri,7,Comptroller,Darlene Green,1954,1505,77.02%,8789,22.23%
Saint Louis,Missouri,7,Alderperson,Jack Coatar,1954,1150,58.85%,8789,22.23%
Saint Louis,Missouri,7,Alderperson,Shedrick Kelley,1954,883,45.19%,8789,22.23%
Saint Louis,Missouri,8,Mayor,Lewis Reed,2731,704,25.78%,8720,31.32%
Saint Louis,Missouri,8,Mayor,Cara Spencer,2731,1650,60.42%,8720,31.32%
Saint Louis,Missouri,8,Mayor,Tishaura Jones,2731,1860,68.11%,8720,31.32%
Saint Louis,Missouri,8,Mayor,Andrew Jones,2731,323,11.83%,8720,31.32%
Saint Louis,Missouri,8,Comptroller,Darlene Green,2731,2087,76.42%,8720,31.32%
Saint Louis,Missouri,9,Mayor,Lewis Reed,1745,525,30.09%,7160,24.37%
Saint Louis,Missouri,9,Mayor,Cara Spencer,1745,983,56.33%,7160,24.37%
Saint Louis,Missouri,9,Mayor,Tishaura Jones,1745,1037,59.43%,7160,24.37%
Saint Louis,Missouri,9,Mayor,Andrew Jones,1745,182,10.43%,7160,24.37%
Saint Louis,Missouri,9,Comptroller,Darlene Green,1745,1393,79.83%,7160,24.37%
Saint Louis,Missouri,9,Alderperson,Dan Guenther,1745,1226,70.26%,7160,24.37%
Saint Louis,Missouri,9,Alderperson,Ken Ortmann,1745,607,34.79%,7160,24.37%
Saint Louis,Missouri,10,Mayor,Lewis Reed,1788,705,39.43%,7906,22.62%
Saint Louis,Missouri,10,Mayor,Cara Spencer,1788,996,55.70%,7906,22.62%
Saint Louis,Missouri,10,Mayor,Tishaura Jones,1788,928,51.90%,7906,22.62%
Saint Louis,Missouri,10,Mayor,Andrew Jones,1788,368,20.58%,7906,22.62%
Saint Louis,Missouri,10,Comptroller,Darlene Green,1788,1221,68.29%,7906,22.62%
Saint Louis,Missouri,11,Mayor,Lewis Reed,1172,456,38.91%,6471,18.11%
Saint Louis,Missouri,11,Mayor,Cara Spencer,1172,658,56.14%,6471,18.11%
Saint Louis,Missouri,11,Mayor,Tishaura Jones,1172,552,47.10%,6471,18.11%
Saint Louis,Missouri,11,Mayor,Andrew Jones,1172,211,18.00%,6471,18.11%
Saint Louis,Missouri,11,Comptroller,Darlene Green,1172,912,77.82%,6471,18.11%
Saint Louis,Missouri,11,Alderperson,Sarah Martin,1172,917,78.24%,6471,18.11%
Saint Louis,Missouri,12,Mayor,Lewis Reed,2108,1003,47.58%,8353,25.24%
Saint Louis,Missouri,12,Mayor,Cara Spencer,2108,1171,55.55%,8353,25.24%
